;  LST file generated by mikroListExporter - v.2.0 
; Date/Time: 2/12/2016 2:51:35 PM
;----------------------------------------------

;Address Opcode 	ASM
0x0424	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1661 :: 		
0x0425	0x3001      	MOVLW      1
;__Lib_Math.c,1662 :: 		
0x0426	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1663 :: 		
0x0427	0x2C39      	GOTO       UOK22L24
;__Lib_Math.c,1665 :: 		
UADD22L24:
;__Lib_Math.c,1666 :: 		
0x0428	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1667 :: 		
0x0429	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1668 :: 		
0x042A	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1669 :: 		
0x042B	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1670 :: 		
0x042C	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1671 :: 		
0x042D	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1672 :: 		
0x042E	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1673 :: 		
0x042F	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1674 :: 		
0x0430	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1675 :: 		
0x0431	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1676 :: 		
0x0432	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1677 :: 		
0x0433	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1678 :: 		
0x0434	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1679 :: 		
0x0435	0x0100      	CLRW
;__Lib_Math.c,1680 :: 		
0x0436	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1681 :: 		
0x0437	0x3001      	MOVLW      1
;__Lib_Math.c,1682 :: 		
0x0438	0x07A0      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1684 :: 		
UOK22L24:
;__Lib_Math.c,1685 :: 		
0x0439	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,1687 :: 		
0x043A	0x3007      	MOVLW      7
;__Lib_Math.c,1688 :: 		
0x043B	0x00FC      	MOVWF      R12
;__Lib_Math.c,1690 :: 		
LOOPU3232D:
;__Lib_Math.c,1691 :: 		
0x043C	0x0D70      	RLF        R0, 0
;__Lib_Math.c,1692 :: 		
0x043D	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,1693 :: 		
0x043E	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,1694 :: 		
0x043F	0x0DFA      	RLF        R10, 1
;__Lib_Math.c,1695 :: 		
0x0440	0x0DFB      	RLF        R11, 1
;__Lib_Math.c,1696 :: 		
0x0441	0x0DA0      	RLF        ___math_tempb, 1
;__Lib_Math.c,1697 :: 		
0x0442	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1698 :: 		
0x0443	0x1C70      	BTFSS      R0, 0
;__Lib_Math.c,1699 :: 		
0x0444	0x2C57      	GOTO       UADD22LD
;__Lib_Math.c,1701 :: 		
0x0445	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,1702 :: 		
0x0446	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1703 :: 		
0x0447	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1704 :: 		
0x0448	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1705 :: 		
0x0449	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,1706 :: 		
0x044A	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1707 :: 		
0x044B	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1708 :: 		
0x044C	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1709 :: 		
0x044D	0x02FA      	SUBWF      R10, 1
;__Lib_Math.c,1710 :: 		
0x044E	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1711 :: 		
0x044F	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1712 :: 		
0x0450	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1713 :: 		
0x0451	0x02FB      	SUBWF      R11, 1
;__Lib_Math.c,1714 :: 		
0x0452	0x0100      	CLRW
;__Lib_Math.c,1715 :: 		
0x0453	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,1716 :: 		
0x0454	0x3001      	MOVLW      1
;__Lib_Math.c,1717 :: 		
0x0455	0x02A0      	SUBWF      ___math_tempb, 1
;__Lib_Math.c,1718 :: 		
0x0456	0x2C68      	GOTO       UOK22LD
;__Lib_Math.c,1720 :: 		
UADD22LD:
;__Lib_Math.c,1721 :: 		
0x0457	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1722 :: 		
0x0458	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1723 :: 		
0x0459	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1724 :: 		
0x045A	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1725 :: 		
0x045B	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1726 :: 		
0x045C	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1727 :: 		
0x045D	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1728 :: 		
0x045E	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1729 :: 		
0x045F	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1730 :: 		
0x0460	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1731 :: 		
0x0461	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1732 :: 		
0x0462	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1733 :: 		
0x0463	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1734 :: 		
0x0464	0x0100      	CLRW
;__Lib_Math.c,1735 :: 		
0x0465	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1736 :: 		
0x0466	0x3001      	MOVLW      1
;__Lib_Math.c,1737 :: 		
0x0467	0x07A0      	ADDWF      ___math_tempb, 1
;__Lib_Math.c,1739 :: 		
UOK22LD:
;__Lib_Math.c,1740 :: 		
0x0468	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,1742 :: 		
0x0469	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,1743 :: 		
0x046A	0x2C3C      	GOTO       LOOPU3232D
;__Lib_Math.c,1745 :: 		
0x046B	0x1870      	BTFSC      R0, 0
;__Lib_Math.c,1746 :: 		
0x046C	0x2C7B      	GOTO       UOK22L
;__Lib_Math.c,1747 :: 		
0x046D	0x0874      	MOVF       R4, 0
;__Lib_Math.c,1748 :: 		
0x046E	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,1749 :: 		
0x046F	0x0875      	MOVF       R5, 0
;__Lib_Math.c,1750 :: 		
0x0470	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1751 :: 		
0x0471	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,1752 :: 		
0x0472	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,1753 :: 		
0x0473	0x0876      	MOVF       R6, 0
;__Lib_Math.c,1754 :: 		
0x0474	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1755 :: 		
0x0475	0x0F76      	INCFSZ     R6, 0
;__Lib_Math.c,1756 :: 		
0x0476	0x07FA      	ADDWF      R10, 1
;__Lib_Math.c,1757 :: 		
0x0477	0x0877      	MOVF       R7, 0
;__Lib_Math.c,1758 :: 		
0x0478	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,1759 :: 		
0x0479	0x0F77      	INCFSZ     R7, 0
;__Lib_Math.c,1760 :: 		
0x047A	0x07FB      	ADDWF      R11, 1
;__Lib_Math.c,1762 :: 		
UOK22L:
;__Lib_Math.c,1765 :: 		
L_end_Div_32x32_U:
0x047B	0x0008      	RETURN
; end of _Div_32x32_U
_Div_16x16_U:
;__Lib_Math.c,215 :: 		
;__Lib_Math.c,222 :: 		
0x047C	0x1283      	BCF        STATUS, 5
;__Lib_Math.c,223 :: 		
0x047D	0x1303      	BCF        STATUS, 6
;__Lib_Math.c,224 :: 		
0x047E	0x01F8      	CLRF       R8
;__Lib_Math.c,225 :: 		
0x047F	0x01F9      	CLRF       R9
;__Lib_Math.c,226 :: 		
0x0480	0x3010      	MOVLW      16
;__Lib_Math.c,227 :: 		
0x0481	0x00FC      	MOVWF      R12
;__Lib_Math.c,228 :: 		
0x0482	0x0D71      	RLF        R1, 0
;__Lib_Math.c,229 :: 		
0x0483	0x0DF8      	RLF        R8, 1
;__Lib_Math.c,230 :: 		
0x0484	0x0DF9      	RLF        R9, 1
;__Lib_Math.c,231 :: 		
0x0485	0x0874      	MOVF       R4, 0
;__Lib_Math.c,232 :: 		
0x0486	0x02F8      	SUBWF      R8, 1
;__Lib_Math.c,233 :: 		
0x0487	0x0875      	MOVF       R5, 0
;__Lib_Math.c,234 :: 		
0x0488	0x1C03      	BTFSS      STATUS, 0
;__Lib_Math.c,235 :: 		
0x0489	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,236 :: 		
0x048A	0x02F9      	SUBWF      R9, 1
;__Lib_Math.c,237 :: 		
0x048B	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,238 :: 		
0x048C	0x2C94      	GOTO       $+8
;__Lib_Math.c,239 :: 		
0x048D	0x0874      	MOVF       R4, 0
;__Lib_Math.c,240 :: 		
0x048E	0x07F8      	ADDWF      R8, 1
;__Lib_Math.c,241 :: 		
0x048F	0x0875      	MOVF       R5, 0
;__Lib_Math.c,242 :: 		
0x0490	0x1803      	BTFSC      STATUS, 0
;__Lib_Math.c,243 :: 		
0x0491	0x0F75      	INCFSZ     R5, 0
;__Lib_Math.c,244 :: 		
0x0492	0x07F9      	ADDWF      R9, 1
;__Lib_Math.c,245 :: 		
0x0493	0x1003      	BCF        STATUS, 0
;__Lib_Math.c,246 :: 		
0x0494	0x0DF0      	RLF        R0, 1
;__Lib_Math.c,247 :: 		
0x0495	0x0DF1      	RLF        R1, 1
;__Lib_Math.c,248 :: 		
0x0496	0x0BFC      	DECFSZ     R12, 1
;__Lib_Math.c,249 :: 		
0x0497	0x2C82      	GOTO       $-21
;__Lib_Math.c,251 :: 		
L_end_Div_16x16_U:
0x0498	0x0008      	RETURN
; end of _Div_16x16_U
_darVuelta:
;auto.c,135 :: 		void darVuelta(){
;auto.c,136 :: 		girarDerecha();
0x0499	0x2189      	CALL       _girarDerecha
;auto.c,137 :: 		avanzarVehiculo();
0x049A	0x2182      	CALL       _avanzarVehiculo
;auto.c,138 :: 		Delay_ms(1000);
0x049B	0x300B      	MOVLW      11
0x049C	0x00FB      	MOVWF      R11
0x049D	0x3026      	MOVLW      38
0x049E	0x00FC      	MOVWF      R12
0x049F	0x305D      	MOVLW      93
0x04A0	0x00FD      	MOVWF      R13
L_darVuelta4:
0x04A1	0x0BFD      	DECFSZ     R13, 1
0x04A2	0x2CA1      	GOTO       L_darVuelta4
0x04A3	0x0BFC      	DECFSZ     R12, 1
0x04A4	0x2CA1      	GOTO       L_darVuelta4
0x04A5	0x0BFB      	DECFSZ     R11, 1
0x04A6	0x2CA1      	GOTO       L_darVuelta4
0x04A7	0x0000      	NOP
0x04A8	0x0000      	NOP
;auto.c,139 :: 		girarIzquierda();
0x04A9	0x21A1      	CALL       _girarIzquierda
;auto.c,140 :: 		avanzarVehiculo();
0x04AA	0x2182      	CALL       _avanzarVehiculo
;auto.c,141 :: 		}
0x04AB	0x0008      	RETURN
; end of _darVuelta
_main:
0x04AC	0x258A      	CALL       1418
;auto.c,251 :: 		void main() {
;auto.c,253 :: 		TRISA = 0b00000000; // set PORTA -> salidas
0x04AD	0x1683      	BSF        STATUS, 5
0x04AE	0x1303      	BCF        STATUS, 6
0x04AF	0x0185      	CLRF       TRISA
;auto.c,254 :: 		TRISB = 0b01000000; // set PORTB -> salida menos el pin 6.
0x04B0	0x3040      	MOVLW      64
0x04B1	0x0086      	MOVWF      TRISB
;auto.c,255 :: 		ANSEL  = 0;              // Configure AN2 pin as analog
0x04B2	0x1703      	BSF        STATUS, 6
0x04B3	0x0188      	CLRF       ANSEL
;auto.c,256 :: 		ANSELH = 0;
0x04B4	0x0189      	CLRF       ANSELH
;auto.c,257 :: 		C1ON_bit = 0;                      // Disable comparators
0x04B5	0x1283      	BCF        STATUS, 5
0x04B6	0x1387      	BCF        C1ON_bit, 7
;auto.c,258 :: 		C2ON_bit = 0;
0x04B7	0x1388      	BCF        C2ON_bit, 7
;auto.c,259 :: 		INTCON = 0b10000000; // INTERRUPCION POR TIMER0 Y GIE ACTIVADOS.
0x04B8	0x3080      	MOVLW      128
0x04B9	0x008B      	MOVWF      INTCON
;auto.c,261 :: 		OPTION_REG = 0b10000111; //  TMR0 temporizado:  RBPU, TOCS= INTERNAL INSTRUCTION CLOCK= 0 PSA =0   1:256
0x04BA	0x3087      	MOVLW      135
0x04BB	0x1683      	BSF        STATUS, 5
0x04BC	0x1303      	BCF        STATUS, 6
0x04BD	0x0081      	MOVWF      OPTION_REG
;auto.c,262 :: 		TRISC = 0b10000000;                          // PUERTOC COMO SALIDA exepto pin 7
0x04BE	0x3080      	MOVLW      128
0x04BF	0x0087      	MOVWF      TRISC
;auto.c,263 :: 		PORTC = 0;                          // LIMPIAR PUERTOC
0x04C0	0x1283      	BCF        STATUS, 5
0x04C1	0x0187      	CLRF       PORTC
;auto.c,264 :: 		setupTimer1();
0x04C2	0x222A      	CALL       _setupTimer1
;auto.c,265 :: 		Delay_us(10);                 /* wait for acquisition time*/
0x04C3	0x3006      	MOVLW      6
0x04C4	0x00FD      	MOVWF      R13
L_main39:
0x04C5	0x0BFD      	DECFSZ     R13, 1
0x04C6	0x2CC5      	GOTO       L_main39
0x04C7	0x0000      	NOP
;auto.c,266 :: 		Lcd_Init();                        // Initialize LCD
0x04C8	0x2235      	CALL       _Lcd_Init
;auto.c,269 :: 		Lcd_Out(2,0,txtDefault);                 // Write text in second row
0x04C9	0x3002      	MOVLW      2
0x04CA	0x1683      	BSF        STATUS, 5
0x04CB	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x04CC	0x01C3      	CLRF       FARG_Lcd_Out_column
0x04CD	0x3058      	MOVLW      _txtDefault
0x04CE	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x04CF	0x2138      	CALL       _Lcd_Out
;auto.c,270 :: 		UART1_Init(9600);                         // initialize UART1 module
0x04D0	0x3033      	MOVLW      51
0x04D1	0x1683      	BSF        STATUS, 5
0x04D2	0x0099      	MOVWF      SPBRG
0x04D3	0x1518      	BSF        TXSTA, 2
0x04D4	0x221A      	CALL       _UART1_Init
;auto.c,271 :: 		Delay_ms(100);                  // Wait for UART module to stabilize
0x04D5	0x3002      	MOVLW      2
0x04D6	0x00FB      	MOVWF      R11
0x04D7	0x3004      	MOVLW      4
0x04D8	0x00FC      	MOVWF      R12
0x04D9	0x30BA      	MOVLW      186
0x04DA	0x00FD      	MOVWF      R13
L_main40:
0x04DB	0x0BFD      	DECFSZ     R13, 1
0x04DC	0x2CDB      	GOTO       L_main40
0x04DD	0x0BFC      	DECFSZ     R12, 1
0x04DE	0x2CDB      	GOTO       L_main40
0x04DF	0x0BFB      	DECFSZ     R11, 1
0x04E0	0x2CDB      	GOTO       L_main40
0x04E1	0x0000      	NOP
;auto.c,273 :: 		while (1) {
L_main41:
;auto.c,275 :: 		if (UART1_Data_Ready()) {     // If data is received,
0x04E2	0x2126      	CALL       _UART1_Data_Ready
0x04E3	0x0870      	MOVF       R0, 0
0x04E4	0x1903      	BTFSC      STATUS, 2
0x04E5	0x2D1D      	GOTO       L_main43
;auto.c,276 :: 		uart_rd = UART1_Read();     // leer el dato recibido del celular
0x04E6	0x212D      	CALL       _UART1_Read
0x04E7	0x0870      	MOVF       R0, 0
0x04E8	0x1683      	BSF        STATUS, 5
0x04E9	0x00BF      	MOVWF      _uart_rd
;auto.c,277 :: 		waitSignal();
0x04EA	0x21C7      	CALL       _waitSignal
;auto.c,278 :: 		switch (uart_rd) {
0x04EB	0x2D13      	GOTO       L_main44
;auto.c,279 :: 		case 'A': {               /* Modo automático */
L_main46:
;auto.c,280 :: 		Lcd_Out(2,6,txtAutomatic);
0x04EC	0x3002      	MOVLW      2
0x04ED	0x1683      	BSF        STATUS, 5
0x04EE	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x04EF	0x3006      	MOVLW      6
0x04F0	0x00C3      	MOVWF      FARG_Lcd_Out_column
0x04F1	0x30B4      	MOVLW      _txtAutomatic
0x04F2	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x04F3	0x2138      	CALL       _Lcd_Out
;auto.c,281 :: 		moverEnAutomatico();
0x04F4	0x21E2      	CALL       _moverEnAutomatico
;auto.c,282 :: 		uart_rd = ' ';          /* esperamos nuevo envío de modo. */
0x04F5	0x3020      	MOVLW      32
0x04F6	0x1683      	BSF        STATUS, 5
0x04F7	0x00BF      	MOVWF      _uart_rd
;auto.c,283 :: 		Lcd_Cmd(_LCD_CLEAR);
0x04F8	0x3001      	MOVLW      1
0x04F9	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x04FA	0x20C6      	CALL       _Lcd_Cmd
;auto.c,284 :: 		Lcd_Out(2,0,txtDefault);                 // Write text in second row
0x04FB	0x3002      	MOVLW      2
0x04FC	0x1683      	BSF        STATUS, 5
0x04FD	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x04FE	0x01C3      	CLRF       FARG_Lcd_Out_column
0x04FF	0x3058      	MOVLW      _txtDefault
0x0500	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x0501	0x2138      	CALL       _Lcd_Out
;auto.c,285 :: 		break;
0x0502	0x2D1D      	GOTO       L_main45
;auto.c,287 :: 		case 'M': {
L_main47:
;auto.c,288 :: 		moverManual();
0x0503	0x2283      	CALL       _moverManual
;auto.c,289 :: 		uart_rd = ' ';  /* esperamos nuevo envío de modo. */
0x0504	0x3020      	MOVLW      32
0x0505	0x1683      	BSF        STATUS, 5
0x0506	0x00BF      	MOVWF      _uart_rd
;auto.c,290 :: 		Lcd_Cmd(_LCD_CLEAR);
0x0507	0x3001      	MOVLW      1
0x0508	0x00C7      	MOVWF      FARG_Lcd_Cmd_out_char
0x0509	0x20C6      	CALL       _Lcd_Cmd
;auto.c,291 :: 		Lcd_Out(2,0,txtDefault);                 // Write text in second row
0x050A	0x3002      	MOVLW      2
0x050B	0x1683      	BSF        STATUS, 5
0x050C	0x00C2      	MOVWF      FARG_Lcd_Out_row
0x050D	0x01C3      	CLRF       FARG_Lcd_Out_column
0x050E	0x3058      	MOVLW      _txtDefault
0x050F	0x00C4      	MOVWF      FARG_Lcd_Out_text
0x0510	0x2138      	CALL       _Lcd_Out
;auto.c,292 :: 		break;
0x0511	0x2D1D      	GOTO       L_main45
;auto.c,294 :: 		default:
L_main48:
;auto.c,295 :: 		break;
0x0512	0x2D1D      	GOTO       L_main45
;auto.c,296 :: 		}
L_main44:
0x0513	0x1683      	BSF        STATUS, 5
0x0514	0x083F      	MOVF       _uart_rd, 0
0x0515	0x3A41      	XORLW      65
0x0516	0x1903      	BTFSC      STATUS, 2
0x0517	0x2CEC      	GOTO       L_main46
0x0518	0x083F      	MOVF       _uart_rd, 0
0x0519	0x3A4D      	XORLW      77
0x051A	0x1903      	BTFSC      STATUS, 2
0x051B	0x2D03      	GOTO       L_main47
0x051C	0x2D12      	GOTO       L_main48
L_main45:
;auto.c,297 :: 		}
L_main43:
;auto.c,298 :: 		}
0x051D	0x2CE2      	GOTO       L_main41
;auto.c,299 :: 		}
0x051E	0x2D1E      	GOTO       $+0
; end of _main
0x058A	0x3026      	MOVLW      38
0x058B	0x0084      	MOVWF      FSR
0x058C	0x3046      	MOVLW      70
0x058D	0x1283      	BCF        STATUS, 5
0x058E	0x1303      	BCF        STATUS, 6
0x058F	0x00F0      	MOVWF      R0
0x0590	0x3024      	MOVLW      36
0x0591	0x00ED      	MOVWF      ___DoICPAddr
0x0592	0x3005      	MOVLW      5
0x0593	0x00EE      	MOVWF      110
0x0594	0x22F8      	CALL       760
0x0595	0x30A0      	MOVLW      160
0x0596	0x0084      	MOVWF      FSR
0x0597	0x301F      	MOVLW      31
0x0598	0x00F0      	MOVWF      R0
0x0599	0x306A      	MOVLW      106
0x059A	0x00ED      	MOVWF      ___DoICPAddr
0x059B	0x3005      	MOVLW      5
0x059C	0x00EE      	MOVWF      110
0x059D	0x22F8      	CALL       760
0x059E	0x0008      	RETURN
;auto.c,0 :: ?ICS_bandera_automatico
0x0524	0x3401 ;?ICS_bandera_automatico+0
0x0525	0x3400 ;?ICS_bandera_automatico+1
; end of ?ICS_bandera_automatico
;auto.c,0 :: ?ICS_bandera_mover
0x0526	0x3401 ;?ICS_bandera_mover+0
0x0527	0x3400 ;?ICS_bandera_mover+1
; end of ?ICS_bandera_mover
;auto.c,0 :: ?ICS_txtAbajo
0x0528	0x3441 ;?ICS_txtAbajo+0
0x0529	0x3462 ;?ICS_txtAbajo+1
0x052A	0x3461 ;?ICS_txtAbajo+2
0x052B	0x346A ;?ICS_txtAbajo+3
0x052C	0x346F ;?ICS_txtAbajo+4
0x052D	0x3400 ;?ICS_txtAbajo+5
; end of ?ICS_txtAbajo
;auto.c,0 :: ?ICS_txtArriba
0x052E	0x3441 ;?ICS_txtArriba+0
0x052F	0x3472 ;?ICS_txtArriba+1
0x0530	0x3472 ;?ICS_txtArriba+2
0x0531	0x3469 ;?ICS_txtArriba+3
0x0532	0x3462 ;?ICS_txtArriba+4
0x0533	0x3461 ;?ICS_txtArriba+5
0x0534	0x3400 ;?ICS_txtArriba+6
; end of ?ICS_txtArriba
;auto.c,0 :: ?ICS?lstr1_auto
0x0535	0x3453 ;?ICS?lstr1_auto+0
0x0536	0x3465 ;?ICS?lstr1_auto+1
0x0537	0x3420 ;?ICS?lstr1_auto+2
0x0538	0x3473 ;?ICS?lstr1_auto+3
0x0539	0x3461 ;?ICS?lstr1_auto+4
0x053A	0x346C ;?ICS?lstr1_auto+5
0x053B	0x3469 ;?ICS?lstr1_auto+6
0x053C	0x346F ;?ICS?lstr1_auto+7
0x053D	0x3420 ;?ICS?lstr1_auto+8
0x053E	0x3464 ;?ICS?lstr1_auto+9
0x053F	0x3465 ;?ICS?lstr1_auto+10
0x0540	0x3420 ;?ICS?lstr1_auto+11
0x0541	0x346D ;?ICS?lstr1_auto+12
0x0542	0x346F ;?ICS?lstr1_auto+13
0x0543	0x3464 ;?ICS?lstr1_auto+14
0x0544	0x346F ;?ICS?lstr1_auto+15
0x0545	0x3420 ;?ICS?lstr1_auto+16
0x0546	0x346D ;?ICS?lstr1_auto+17
0x0547	0x3461 ;?ICS?lstr1_auto+18
0x0548	0x346E ;?ICS?lstr1_auto+19
0x0549	0x3475 ;?ICS?lstr1_auto+20
0x054A	0x3461 ;?ICS?lstr1_auto+21
0x054B	0x346C ;?ICS?lstr1_auto+22
0x054C	0x342E ;?ICS?lstr1_auto+23
0x054D	0x342E ;?ICS?lstr1_auto+24
0x054E	0x342E ;?ICS?lstr1_auto+25
0x054F	0x3400 ;?ICS?lstr1_auto+26
; end of ?ICS?lstr1_auto
;auto.c,0 :: ?ICS_TMR
0x0550	0x3400 ;?ICS_TMR+0
0x0551	0x3400 ;?ICS_TMR+1
; end of ?ICS_TMR
;auto.c,0 :: ?ICS_distance_inc
0x0552	0x3400 ;?ICS_distance_inc+0
0x0553	0x3400 ;?ICS_distance_inc+1
; end of ?ICS_distance_inc
;auto.c,0 :: ?ICS_distance_cm
0x0554	0x3400 ;?ICS_distance_cm+0
0x0555	0x3400 ;?ICS_distance_cm+1
; end of ?ICS_distance_cm
;auto.c,0 :: ?ICS_txtDefault
0x0556	0x3445 ;?ICS_txtDefault+0
0x0557	0x3473 ;?ICS_txtDefault+1
0x0558	0x3470 ;?ICS_txtDefault+2
0x0559	0x3465 ;?ICS_txtDefault+3
0x055A	0x3472 ;?ICS_txtDefault+4
0x055B	0x3461 ;?ICS_txtDefault+5
0x055C	0x346E ;?ICS_txtDefault+6
0x055D	0x3464 ;?ICS_txtDefault+7
0x055E	0x346F ;?ICS_txtDefault+8
0x055F	0x3420 ;?ICS_txtDefault+9
0x0560	0x3453 ;?ICS_txtDefault+10
0x0561	0x3465 ;?ICS_txtDefault+11
0x0562	0x346C ;?ICS_txtDefault+12
0x0563	0x3465 ;?ICS_txtDefault+13
0x0564	0x3463 ;?ICS_txtDefault+14
0x0565	0x3463 ;?ICS_txtDefault+15
0x0566	0x3469 ;?ICS_txtDefault+16
0x0567	0x346F ;?ICS_txtDefault+17
0x0568	0x346E ;?ICS_txtDefault+18
0x0569	0x3400 ;?ICS_txtDefault+19
; end of ?ICS_txtDefault
;auto.c,0 :: ?ICS?lstr2_auto
0x056A	0x3453 ;?ICS?lstr2_auto+0
0x056B	0x3465 ;?ICS?lstr2_auto+1
0x056C	0x3420 ;?ICS?lstr2_auto+2
0x056D	0x3470 ;?ICS?lstr2_auto+3
0x056E	0x3461 ;?ICS?lstr2_auto+4
0x056F	0x3472 ;?ICS?lstr2_auto+5
0x0570	0x346F ;?ICS?lstr2_auto+6
0x0571	0x3420 ;?ICS?lstr2_auto+7
0x0572	0x3465 ;?ICS?lstr2_auto+8
0x0573	0x346C ;?ICS?lstr2_auto+9
0x0574	0x3420 ;?ICS?lstr2_auto+10
0x0575	0x3476 ;?ICS?lstr2_auto+11
0x0576	0x3465 ;?ICS?lstr2_auto+12
0x0577	0x3468 ;?ICS?lstr2_auto+13
0x0578	0x3469 ;?ICS?lstr2_auto+14
0x0579	0x3463 ;?ICS?lstr2_auto+15
0x057A	0x3475 ;?ICS?lstr2_auto+16
0x057B	0x346C ;?ICS?lstr2_auto+17
0x057C	0x346F ;?ICS?lstr2_auto+18
0x057D	0x3400 ;?ICS?lstr2_auto+19
; end of ?ICS?lstr2_auto
;auto.c,0 :: ?ICS_txtAutomatic
0x057E	0x3441 ;?ICS_txtAutomatic+0
0x057F	0x3475 ;?ICS_txtAutomatic+1
0x0580	0x3474 ;?ICS_txtAutomatic+2
0x0581	0x346F ;?ICS_txtAutomatic+3
0x0582	0x346D ;?ICS_txtAutomatic+4
0x0583	0x3461 ;?ICS_txtAutomatic+5
0x0584	0x3474 ;?ICS_txtAutomatic+6
0x0585	0x3469 ;?ICS_txtAutomatic+7
0x0586	0x3463 ;?ICS_txtAutomatic+8
0x0587	0x346F ;?ICS_txtAutomatic+9
0x0588	0x3400 ;?ICS_txtAutomatic+10
; end of ?ICS_txtAutomatic
Symbol List:
//** Routines locations **
//ADDRESS    SIZE    PROCEDURE
//----------------------------------------------
0x0004     [171]    _interrupt
0x00AF       [3]    _Delay_1us
0x00B2      [13]    _Delay_5500us
0x00BF       [7]    _Delay_50us
0x00C6      [87]    _Lcd_Cmd
0x011D       [9]    _Lcd_Chr_CP
0x0126       [7]    _UART1_Data_Ready
0x012D      [11]    _UART1_Read
0x0138      [67]    _Lcd_Out
0x017B       [7]    _____DoICP
0x0182       [7]    _avanzarVehiculo
0x0189      [24]    _girarDerecha
0x01A1      [24]    _girarIzquierda
0x01B9       [7]    _moverAtras
0x01C0       [7]    _pararVehiculo
0x01C7      [19]    _waitSignal
0x01DA       [8]    _cargarDato
0x01E2      [56]    _moverEnAutomatico
0x021A      [16]    _UART1_Init
0x022A      [11]    _setupTimer1
0x0235      [78]    _Lcd_Init
0x0283     [117]    _moverManual
0x02F8      [12]    ___CC2DW
0x0304     [376]    _Div_32x32_U
0x047C      [29]    _Div_16x16_U
0x0499      [19]    _darVuelta
0x04AC     [114]    _main
//** Variables locations ** 
//ADDRESS    SIZE    VARIABLE
//----------------------------------------------
0x0000       [1]    INDF
